"﻿Record#","FName","Lname","Date of Birth","Gender","Education","House#","Address1","Address2","City","Pincode","Mobile#","Company","MonthlySalary"
"60","FName60","LName60","11/2/1998","Female","MBA","160","Street1","ABC Building","Chennai","560102","8345623520","Intel","51131.34"
"61","FName61","LName61","12/2/1998","Male","B.Tech","161","Street5","Kingpin Apts","Bangalore","560102","8345623524","Infosys","32434.97"
"62","FName62","LName62","13-02-1998","Male","M.Tech","162","Street4","Shoba Lake Apts","Pune","600001","8345623529","Apple","100284.86"
"63","FName63","LName63","14-02-1998","Female","BBA","163","Street3","Brigade Towers","Mumbai","400001","8345623535","Microsoft","26825.55"
"64","FName64","LName64","15-02-1998","Female","BE","164","Street2","Prestige Lake City","Hyderabad","560102","8345623535","Google","43597.81"
"65","FName65","LName65","16-02-1998","Female","B.Com","165","Street1","ABC Building","Chennai","560102","8345623540","Intel","84336.16"
"66","FName66","LName66","17-02-1998","Male","B.Sc","166","Street3","Brigade Towers","Mumbai","400001","8345623546","Microsoft","26650.38"
"67","FName67","LName67","18-02-1998","Female","BCA","167","Street5","Kingpin Apts","Bangalore","560102","8345623552","Infosys","14559.58"
"68","FName68","LName68","19-02-1998","Female","MCA","168","Street2","Prestige Lake City","Hyderabad","560102","8345623558","Google","126525"
"69","FName69","LName69","20-02-1998","Male","MBA","169","Street3","Brigade Towers","Mumbai","400001","8345623559","Microsoft","265.6"
"70","FName70","LName70","21-02-1998","Female","B.Tech","170","Street1","ABC Building","Chennai","560102","8345623567","Intel","17324.18"
"71","FName71","LName71","22-02-1998","Male","M.Tech","171","Street5","Kingpin Apts","Bangalore","560102","8345623567","Infosys","48978.83"
"72","FName72","LName72","23-02-1998","Male","BBA","172","Street2","Prestige Lake City","Hyderabad","560102","8345623571","Google","78136.63"
"73","FName73","LName73","24-02-1998","Female","BE","173","Street5","Kingpin Apts","Bangalore","560102","8345623573","Infosys","48876.02"
"74","FName74","LName74","25-02-1998","Female","B.Com","174","Street4","Shoba Lake Apts","Pune","600001","8345623579","Apple","51153.34"
"75","FName75","LName75","26-02-1998","Female","B.Sc","175","Street1","ABC Building","Chennai","560102","8345623589","Intel","76728.17"
"76","FName76","LName76","27-02-1998","Male","BCA","176","Street2","Prestige Lake City","Hyderabad","560102","8345623589","Google","137085.22"
"77","FName77","LName77","28-02-1998","Female","MCA","177","Street5","Kingpin Apts","Bangalore","560102","8345623598","Infosys","10210.48"
"78","FName78","LName78","1/3/1998","Female","MBA","178","Street3","Brigade Towers","Mumbai","400001","8345623602","Microsoft","109656.85"
"79","FName79","LName79","2/3/1998","Male","B.Tech","179","Street5","Kingpin Apts","Bangalore","560102","8345623607","Infosys","5297.67"
"80","FName80","LName80","3/3/1998","Female","M.Tech","180","Street1","ABC Building","Chennai","560102","8345623612","Intel","1282.86"
"81","FName81","LName81","4/3/1998","Male","BBA","181","Street3","Brigade Towers","Mumbai","400001","8345623622","Microsoft","4436.3"
"82","FName82","LName82","5/3/1998","Male","BE","182","Street4","Shoba Lake Apts","Pune","600001","8345623630","Apple","7490.87"
"83","FName83","LName83","6/3/1998","Female","B.Com","183","Street5","Kingpin Apts","Bangalore","560102","8345623632","Infosys","21564.85"
"84","FName84","LName84","7/3/1998","Female","B.Sc","184","Street2","Prestige Lake City","Hyderabad","560102","8345623639","Google","133152.06"
"85","FName85","LName85","8/3/1998","Female","BCA","185","Street1","ABC Building","Chennai","560102","8345623641","Intel","21438.82"
"86","FName86","LName86","9/3/1998","Male","MCA","186","Street4","Shoba Lake Apts","Pune","600001","8345623644","Apple","103131.48"
"87","FName87","LName87","10/3/1998","Female","MBA","187","Street3","Brigade Towers","Mumbai","400001","8345623652","Microsoft","82886.91"
"88","FName88","LName88","11/3/1998","Female","B.Tech","188","Street2","Prestige Lake City","Hyderabad","560102","8345623660","Google","121084.67"
"89","FName89","LName89","12/3/1998","Male","M.Tech","189","Street5","Kingpin Apts","Bangalore","560102","8345623670","Infosys","41481.62"
"90","FName90","LName90","13-03-1998","Female","BBA","190","Street1","ABC Building","Chennai","560102","8345623671","Intel","34924.86"
"91","FName91","LName91","14-03-1998","Male","BE","191","Street5","Kingpin Apts","Bangalore","560102","8345623680","Infosys","40345.4"
"92","FName92","LName92","15-03-1998","Male","B.Com","192","Street2","Prestige Lake City","Hyderabad","560102","8345623689","Google","112548.92"
"93","FName93","LName93","16-03-1998","Female","B.Sc","193","Street3","Brigade Towers","Mumbai","400001","8345623692","Microsoft","19979.01"
"94","FName94","LName94","17-03-1998","Female","BCA","194","Street4","Shoba Lake Apts","Pune","600001","8345623699","Apple","112008.89"
"95","FName95","LName95","18-03-1998","Female","MCA","195","Street1","ABC Building","Chennai","560102","8345623707","Intel","10369.22"
"96","FName96","LName96","19-03-1998","Male","MBA","196","Street2","Prestige Lake City","Hyderabad","560102","8345623711","Google","125244.17"
"97","FName97","LName97","20-03-1998","Female","B.Tech","197","Street5","Kingpin Apts","Bangalore","560102","8345623716","Infosys","8582.16"
"98","FName98","LName98","21-03-1998","Female","M.Tech","198","Street4","Shoba Lake Apts","Pune","600001","8345623725","Apple","82532.45"
"99","FName99","LName99","22-03-1998","Male","BBA","199","Street3","Brigade Towers","Mumbai","400001","8345623727","Microsoft","63814.13"
"101","FName101","LName101","24-03-1998","Male","B.Com","201","Street5","Kingpin Apts","Bangalore","560102","8345623732","Infosys","35804.34"
"102","FName102","LName102","25-03-1998","Male","B.Sc","202","Street3","Brigade Towers","Mumbai","400001","8345623734","Microsoft","77893.96"
"103","FName103","LName103","26-03-1998","Female","BCA","203","Street5","Kingpin Apts","Bangalore","560102","8345623742","Infosys","20810.47"
"104","FName104","LName104","27-03-1998","Female","MCA","204","Street2","Prestige Lake City","Hyderabad","560102","8345623746","Google","55698.3"
"105","FName105","LName105","28-03-1998","Female","MBA","205","Street1","ABC Building","Chennai","560102","8345623751","Intel","41717.84"
"106","FName106","LName106","29-03-1998","Male","B.Tech","206","Street4","Shoba Lake Apts","Pune","600001","8345623759","Apple","15347.91"
"107","FName107","LName107","30-03-1998","Female","M.Tech","207","Street5","Kingpin Apts","Bangalore","560102","8345623759","Infosys","40100.51"
"108","FName108","LName108","31-03-1998","Female","BBA","208","Street2","Prestige Lake City","Hyderabad","560102","8345623769","Google","62290.11"
"109","FName109","LName109","1/4/1998","Male","BE","209","Street5","Kingpin Apts","Bangalore","560102","8345623774","Infosys","25577.59"
"110","FName110","LName110","2/4/1998","Female","B.Com","210","Street1","ABC Building","Chennai","560102","8345623783","Intel","43267.42"
"111","FName111","LName111","3/4/1998","Male","B.Sc","211","Street3","Brigade Towers","Mumbai","400001","8345623788","Microsoft","26214.69"
"112","FName112","LName112","4/4/1998","Male","BCA","212","Street2","Prestige Lake City","Hyderabad","560102","8345623794","Google","114129.3"
"113","FName113","LName113","5/4/1998","Female","MCA","213","Street5","Kingpin Apts","Bangalore","560102","8345623800","Infosys","44928.02"
"114","FName114","LName114","6/4/1998","Female","MBA","214","Street3","Brigade Towers","Mumbai","400001","8345623803","Microsoft","28892.95"
"115","FName115","LName115","7/4/1998","Female","B.Tech","215","Street1","ABC Building","Chennai","560102","8345623812","Intel","79836.33"
"116","FName116","LName116","8/4/1998","Male","M.Tech","216","Street2","Prestige Lake City","Hyderabad","560102","8345623814","Google","92895.34"
"117","FName117","LName117","9/4/1998","Female","BBA","217","Street3","Brigade Towers","Mumbai","400001","8345623820","Microsoft","91335.56"
"119","FName119","LName119","11/4/1998","Male","B.Com","219","Street5","Kingpin Apts","Bangalore","560102","8345623824","Infosys","12235.42"
"120","FName120","LName120","12/4/1998","Female","B.Sc","220","Street1","ABC Building","Chennai","560102","8345623825","Intel","29599.41"
"121","FName121","LName121","13-04-1998","Male","BCA","221","Street5","Kingpin Apts","Bangalore","560102","8345623827","Infosys","26409.67"
"122","FName122","LName122","14-04-1998","Male","MCA","222","Street4","Shoba Lake Apts","Pune","600001","8345623830","Apple","19248.71"
"123","FName123","LName123","15-04-1998","Female","MBA","223","Street3","Brigade Towers","Mumbai","400001","8345623834","Microsoft","94949.32"
"124","FName124","LName124","16-04-1998","Female","B.Tech","224","Street2","Prestige Lake City","Hyderabad","560102","8345623844","Google","135840.86"
"125","FName125","LName125","17-04-1998","Female","M.Tech","225","Street1","ABC Building","Chennai","560102","8345623849","Intel","13221.31"
"126","FName126","LName126","18-04-1998","Male","BBA","226","Street3","Brigade Towers","Mumbai","400001","8345623853","Microsoft","79236.28"
"127","FName127","LName127","19-04-1998","Female","BE","227","Street5","Kingpin Apts","Bangalore","560102","8345623860","Infosys","4886.53"
"128","FName128","LName128","20-04-1998","Female","B.Com","228","Street2","Prestige Lake City","Hyderabad","560102","8345623864","Google","123210.95"
"129","FName129","LName129","21-04-1998","Male","B.Sc","229","Street3","Brigade Towers","Mumbai","400001","8345623874","Microsoft","75230.53"
"130","FName130","LName130","22-04-1998","Female","BCA","230","Street1","ABC Building","Chennai","560102","8345623883","Intel","43771.88"
"131","FName131","LName131","23-04-1998","Male","MCA","231","Street5","Kingpin Apts","Bangalore","560102","8345623889","Infosys","46918.33"
"132","FName132","LName132","24-04-1998","Male","MBA","232","Street2","Prestige Lake City","Hyderabad","560102","8345623899","Google","80708.93"
"133","FName133","LName133","25-04-1998","Female","B.Tech","233","Street5","Kingpin Apts","Bangalore","560102","8345623906","Infosys","32049.38"
"134","FName134","LName134","26-04-1998","Female","M.Tech","234","Street4","Shoba Lake Apts","Pune","600001","8345623913","Apple","69033.12"
"135","FName135","LName135","27-04-1998","Female","BBA","235","Street1","ABC Building","Chennai","560102","8345623913","Intel","1978.6"
"136","FName136","LName136","28-04-1998","Male","BE","236","Street2","Prestige Lake City","Hyderabad","560102","8345623915","Google","31574.38"
"137","FName137","LName137","29-04-1998","Female","B.Com","237","Street5","Kingpin Apts","Bangalore","560102","8345623919","Infosys","23401.22"
"138","FName138","LName138","30-04-1998","Female","B.Sc","238","Street3","Brigade Towers","Mumbai","400001","8345623928","Microsoft","35122.19"
"139","FName139","LName139","1/5/1998","Male","BCA","239","Street5","Kingpin Apts","Bangalore","560102","8345623930","Infosys","28049.96"
"140","FName140","LName140","2/5/1998","Female","MCA","240","Street1","ABC Building","Chennai","560102","8345623932","Intel","81156.46"
"141","FName141","LName141","3/5/1998","Male","MBA","241","Street3","Brigade Towers","Mumbai","400001","8345623938","Microsoft","80808.14"
"142","FName142","LName142","4/5/1998","Male","B.Tech","242","Street4","Shoba Lake Apts","Pune","600001","8345623947","Apple","74370.44"
"143","FName143","LName143","5/5/1998","Female","M.Tech","243","Street5","Kingpin Apts","Bangalore","560102","8345623953","Infosys","23175.13"
"144","FName144","LName144","6/5/1998","Female","BBA","244","Street2","Prestige Lake City","Hyderabad","560102","8345623960","Google","118318.91"
"145","FName145","LName145","7/5/1998","Female","BE","245","Street1","ABC Building","Chennai","560102","8345623967","Intel","76914.02"
"147","FName147","LName147","9/3/1998","Female","B.Sc","247","Street3","Brigade Towers","Mumbai","400001","8345623978","Microsoft","9125.66"
"148","FName148","LName148","10/3/1998","Female","BCA","248","Street2","Prestige Lake City","Hyderabad","560102","8345623984","Google","133935.56"
"149","FName149","LName149","11/3/1998","Male","MCA","249","Street5","Kingpin Apts","Bangalore","560102","8345623989","Infosys","25032.03"
"151","FName151","LName151","13-03-1998","Male","B.Tech","251","Street5","Kingpin Apts","Bangalore","560102","8345624007","Infosys","37734.01"
"152","FName152","LName152","14-03-1998","Male","M.Tech","252","Street2","Prestige Lake City","Hyderabad","560102","8345624015","Google","47346.31"
"153","FName153","LName153","15-03-1998","Female","BBA","253","Street3","Brigade Towers","Mumbai","400001","8345624020","Microsoft","106979.35"
"154","FName154","LName154","16-03-1998","Female","BE","254","Street4","Shoba Lake Apts","Pune","600001","8345624020","Apple","20854.07"
"155","FName155","LName155","17-03-1998","Female","B.Com","255","Street1","ABC Building","Chennai","560102","8345624028","Intel","16783.96"
"156","FName156","LName156","18-03-1998","Male","B.Sc","256","Street2","Prestige Lake City","Hyderabad","560102","8345624037","Google","90657.19"
"157","FName157","LName157","19-03-1998","Female","BCA","257","Street5","Kingpin Apts","Bangalore","560102","8345624037","Infosys","29665.79"
"158","FName158","LName158","20-03-1998","Female","MCA","258","Street4","Shoba Lake Apts","Pune","600001","8345624042","Apple","51898.88"
"160","FName160","LName160","22-03-1998","Female","B.Tech","260","Street1","ABC Building","Chennai","560102","8345624056","Intel","4359.35"
"161","FName161","LName161","23-03-1998","Male","M.Tech","261","Street5","Kingpin Apts","Bangalore","560102","8345624060","Infosys","49751.7"
"162","FName162","LName162","24-03-1998","Male","BBA","262","Street3","Brigade Towers","Mumbai","400001","8345624065","Microsoft","60181.39"
"163","FName163","LName163","25-03-1998","Female","BE","263","Street5","Kingpin Apts","Bangalore","560102","8345624074","Infosys","34066.94"
"164","FName164","LName164","26-03-1998","Female","B.Com","264","Street2","Prestige Lake City","Hyderabad","560102","8345624077","Google","29325.18"
"165","FName165","LName165","27-03-1998","Female","B.Sc","265","Street1","ABC Building","Chennai","560102","8345624080","Intel","12948.72"
"166","FName166","LName166","28-03-1998","Male","BCA","266","Street4","Shoba Lake Apts","Pune","600001","8345624086","Apple","89567.94"
"167","FName167","LName167","29-03-1998","Female","MCA","267","Street5","Kingpin Apts","Bangalore","560102","8345624089","Infosys","33891.62"
"168","FName168","LName168","30-03-1998","Female","MBA","268","Street2","Prestige Lake City","Hyderabad","560102","8345624097","Google","61579.74"
"169","FName169","LName169","31-03-1998","Male","B.Tech","269","Street5","Kingpin Apts","Bangalore","560102","8345624099","Infosys","27788.84"
"170","FName170","LName170","1/4/1998","Female","M.Tech","270","Street1","ABC Building","Chennai","560102","8345624101","Intel","11906.42"
"171","FName171","LName171","2/4/1998","Male","BBA","271","Street3","Brigade Towers","Mumbai","400001","8345624106","Microsoft","85562.6"
"172","FName172","LName172","3/4/1998","Male","BE","272","Street2","Prestige Lake City","Hyderabad","560102","8345624114","Google","104815.02"
"173","FName173","LName173","4/4/1998","Female","B.Com","273","Street5","Kingpin Apts","Bangalore","560102","8345624116","Infosys","18808.97"
"174","FName174","LName174","5/4/1998","Female","B.Sc","274","Street3","Brigade Towers","Mumbai","400001","8345624126","Microsoft","92814.43"
"175","FName175","LName175","6/4/1998","Female","BCA","275","Street1","ABC Building","Chennai","560102","8345624135","Intel","6921.03"
"176","FName176","LName176","7/4/1998","Male","MCA","276","Street2","Prestige Lake City","Hyderabad","560102","8345624140","Google","87699.13"
"177","FName177","LName177","8/4/1998","Female","MBA","277","Street3","Brigade Towers","Mumbai","400001","8345624146","Microsoft","106990.81"
"178","FName178","LName178","9/4/1998","Female","B.Tech","278","Street4","Shoba Lake Apts","Pune","600001","8345624149","Apple","104243.19"
"179","FName179","LName179","10/4/1998","Male","M.Tech","279","Street5","Kingpin Apts","Bangalore","560102","8345624154","Infosys","4425.14"
"180","FName180","LName180","11/4/1998","Female","BBA","280","Street1","ABC Building","Chennai","560102","8345624160","Intel","61871.35"
"181","FName181","LName181","12/4/1998","Male","BE","281","Street5","Kingpin Apts","Bangalore","560102","8345624166","Infosys","7818.31"
"182","FName182","LName182","13-04-1998","Male","B.Com","282","Street4","Shoba Lake Apts","Pune","600001","9003423457","Apple","10523.03"
"183","FName183","LName183","14-04-1998","Female","B.Sc","283","Street3","Brigade Towers","Mumbai","400001","9003423458","Microsoft","56345.22"
"184","FName184","LName184","15-04-1998","Female","BCA","284","Street2","Prestige Lake City","Hyderabad","560102","9003423461","Google","81971.17"
"185","FName185","LName185","16-04-1998","Female","MCA","285","Street1","ABC Building","Chennai","560102","9003423466","Intel","48189.82"
"186","FName186","LName186","17-04-1998","Male","MBA","286","Street3","Brigade Towers","Mumbai","400001","9003423473","Microsoft","87141.89"
"187","FName187","LName187","18-04-1998","Female","B.Tech","287","Street5","Kingpin Apts","Bangalore","560102","9003423481","Infosys","19389.46"
"188","FName188","LName188","19-04-1998","Female","M.Tech","288","Street2","Prestige Lake City","Hyderabad","560102","9003423488","Google","21028.76"
"189","FName189","LName189","20-04-1998","Male","BBA","289","Street3","Brigade Towers","Mumbai","400001","9003423496","Microsoft","4218.56"
"190","FName190","LName190","21-04-1998","Female","BE","290","Street1","ABC Building","Chennai","560102","9003423506","Intel","62856.76"
"191","FName191","LName191","22-04-1998","Male","B.Com","291","Street5","Kingpin Apts","Bangalore","560102","9003423512","Infosys","19918.11"
"192","FName192","LName192","23-04-1998","Male","B.Sc","292","Street2","Prestige Lake City","Hyderabad","560102","9003423520","Google","43466.66"
"193","FName193","LName193","24-04-1998","Female","BCA","293","Street5","Kingpin Apts","Bangalore","560102","9003423529","Infosys","17400.59"
"194","FName194","LName194","25-04-1998","Female","MCA","294","Street4","Shoba Lake Apts","Pune","600001","9003423531","Apple","24013.09"
"195","FName195","LName195","26-04-1998","Female","MBA","295","Street1","ABC Building","Chennai","560102","9003423540","Intel","81692.52"
"196","FName196","LName196","27-04-1998","Male","B.Tech","296","Street2","Prestige Lake City","Hyderabad","560102","9003423547","Google","37204.08"
"197","FName197","LName197","28-04-1998","Female","M.Tech","297","Street5","Kingpin Apts","Bangalore","560102","9003423548","Infosys","34517.07"
"198","FName198","LName198","29-04-1998","Female","BBA","298","Street3","Brigade Towers","Mumbai","400001","9003423551","Microsoft","57064.97"
"199","FName199","LName199","30-04-1998","Male","BE","299","Street5","Kingpin Apts","Bangalore","560102","9003423560","Infosys","24662.58"
"200","FName200","LName200","1/5/1998","Female","B.Com","300","Street1","ABC Building","Chennai","560102","9003423570","Intel","46729.56"
"201","FName201","LName201","2/5/1998","Male","B.Sc","301","Street3","Brigade Towers","Mumbai","400001","9003423577","Microsoft","75723.11"
"202","FName202","LName202","3/5/1998","Male","BCA","302","Street4","Shoba Lake Apts","Pune","600001","9003423578","Apple","16635.97"
"203","FName203","LName203","4/5/1998","Female","MCA","303","Street5","Kingpin Apts","Bangalore","560102","9003423581","Infosys","20503.22"
"204","FName204","LName204","5/5/1998","Female","MBA","304","Street2","Prestige Lake City","Hyderabad","560102","9003423583","Google","127069.07"
"205","FName205","LName205","6/5/1998","Female","B.Tech","305","Street1","ABC Building","Chennai","560102","9003423584","Intel","41416.75"
"206","FName206","LName206","7/5/1998","Male","M.Tech","306","Street4","Shoba Lake Apts","Pune","600001","9003423591","Apple","61782.94"
"207","FName207","LName207","8/5/1998","Female","BBA","307","Street3","Brigade Towers","Mumbai","400001","9003423597","Microsoft","17624.95"
"208","FName208","LName208","9/5/1998","Female","BE","308","Street2","Prestige Lake City","Hyderabad","560102","9003423601","Google","37908.33"
"209","FName209","LName209","10/5/1998","Male","B.Com","309","Street5","Kingpin Apts","Bangalore","560102","9003423608","Infosys","16672.23"
"210","FName210","LName210","11/5/1998","Female","B.Sc","310","Street1","ABC Building","Chennai","560102","9003423615","Intel","84574.89"
"211","FName211","LName211","12/5/1998","Male","BCA","311","Street5","Kingpin Apts","Bangalore","560102","9003423616","Infosys","45108.2"
"212","FName212","LName212","13-05-1998","Male","MCA","312","Street2","Prestige Lake City","Hyderabad","560102","9003423623","Google","89612.45"
"213","FName213","LName213","14-05-1998","Female","MBA","313","Street3","Brigade Towers","Mumbai","400001","9003423628","Microsoft","17014.6"
"214","FName214","LName214","15-05-1998","Female","B.Tech","314","Street4","Shoba Lake Apts","Pune","600001","9003423635","Apple","13712.63"
"215","FName215","LName215","16-05-1998","Female","M.Tech","315","Street1","ABC Building","Chennai","560102","9003423639","Intel","41648.42"
"216","FName216","LName216","17-05-1998","Male","BBA","316","Street2","Prestige Lake City","Hyderabad","560102","9003423645","Google","108138.13"
"217","FName217","LName217","18-05-1998","Female","BE","317","Street5","Kingpin Apts","Bangalore","560102","9003423645","Infosys","43057.66"
"218","FName218","LName218","19-05-1998","Female","B.Com","318","Street4","Shoba Lake Apts   ","Pune","600001","9003423648","Apple","88344.72"
"219","FName219","LName219","20-05-1998","Male","B.Sc","319","Street3","Brigade Towers","Mumbai","400001","9003423652","Microsoft","27540.75"
"220","FName220","LName220","21-05-1998","Female","BCA","320","Street1","ABC Building","Chennai","560102","9003423658","Intel","30810.98"
"221","FName221","LName221","22-05-1998","Male","MCA","321","Street5","Kingpin Apts","Bangalore","560102","9003423665","Infosys","42714.16"
"222","FName222","LName222","23-05-1998","Male","MBA","322","Street3","Brigade Towers","Mumbai","400001","9003423672","Microsoft","91920.75"
